Frame,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,class
0,0.163942046,-0.001378222,0.045834544,0.008038767,-0.054907832,0.011805733,0
1,-0.190848761,0.214363256,0.05163338,-0.541906793,0.175741714,0.231347267,0
2,-0.054696152,-0.127659675,-0.076814475,0.110754244,0.134194596,0.062617529,0
3,0.184244953,-0.046102591,0.073128861,0.013505229,-0.010772258,0.006895012,0
4,0.302372206,-0.01053997,0.076275082,0.210096869,0.026872616,0.017430648,0
5,-0.45741105,-0.208819232,-0.114204724,0.270894705,0.024803159,-0.131773784,0
6,-0.275993716,0.006826804,-0.012993322,-0.283351098,-0.001028874,-0.019028275,0
7,-0.032263196,0.042172157,-0.07314813,-0.39535278,-0.079536634,-0.016932194,0
8,-0.052215237,-0.104554917,-0.142953359,-0.115299164,-0.210651675,0.065819713,0
9,0.358612834,0.012028857,0.076411351,0.082238211,-0.038966115,0.134071394,0
10,0.198826128,0.415312069,0.194435519,0.275453679,0.012121563,0.099478207,0
11,-0.235704857,0.486679516,0.139230682,-0.09831965,0.053586963,0.096249057,0
12,-0.168386392,0.148873492,0.154693693,-0.006228868,-0.179482781,0.094061748,0
13,0.117200994,0.007853018,0.111076661,-0.053982088,-0.055795637,0.111107661,0
14,-0.502016924,-0.01395318,-0.191131871,0.057686089,0.200367877,0.032799508,0
15,0.303689518,-0.060270341,-0.122455351,0.04689191,0.222618337,0.06420688,0
16,0.637258365,-0.200558256,-0.0004197,0.21988033,-0.112891295,0.020264658,0
17,0.323268988,-0.063076487,0.059955592,0.344964222,-0.015403785,0.023571563,0
18,-0.265595251,0.148749129,-0.004764471,0.019195025,-0.168600393,-0.061837363,0
19,-0.032864784,0.141561364,0.050846164,-0.128809973,0.098890423,-0.016341548,0
20,-0.299020837,0.264229348,-0.025178535,-0.290047515,-0.036687443,-0.030329923,0
21,-0.352205375,-0.073594716,-0.060517129,0.002312465,0.151970811,-0.100756526,0
22,0.028603962,0.004293043,-0.049077139,0.029617897,0.244659005,-0.026736109,0
23,0.20964401,0.067288247,0.058678999,0.161334678,0.043615782,0.072007439,0
24,-0.105306803,-0.162801126,0.026130758,-0.042538954,-0.299707024,-0.007137025,0
25,-0.02181166,-0.03921194,0.153904254,-0.132346274,-0.139446828,0.019671666,0
26,0.091275559,0.305019336,0.131161249,-0.317065943,0.15327397,0.057637883,0
27,0.179875833,0.226051603,-0.06072927,0.217592962,-0.081999016,-0.144231817,0
28,0.004466115,-0.024713919,-0.05986499,0.403208607,-0.02379073,-0.006248105,0
29,-0.35177928,-0.014200266,-0.122830984,-0.026758125,0.139678074,0.043222052,0
30,0.083324644,-0.160673809,-0.05378204,-0.131390878,0.042747696,0.04682053,0
31,0.082252378,-0.190802515,0.074332087,-0.036271574,0.147394974,0.190778673,0
32,0.163242782,0.047548578,0.096145699,-0.135421454,0.141383136,0.127540535,0
33,0.195702268,-0.032768051,0.011194912,0.17464922,0.347658486,-0.026443996,0
34,0.218583544,-0.040066717,0.073133505,0.036065056,0.036172925,-0.136564479,0
35,-0.241063906,-0.018180775,-0.054534005,0.231559883,0.099195135,-0.155461042,0
36,0.252745418,0.361940055,0.011367479,0.190185648,0.052984847,-0.192782953,0
37,0.001590032,-0.11762575,0.113653261,-0.058209233,-0.303459777,-0.012998106,0
38,-0.589556378,0.153054786,0.009839644,-0.593091223,-0.229629878,0.281782556,0
39,-0.014081034,-0.053857066,-0.093795856,-0.162473442,-0.125177953,0.246033984,0
40,0.300247328,0.08619733,-0.085282508,0.247334877,-0.127915008,0.079840615,0
41,0.039228476,-0.089551961,-0.165973373,0.265500427,-0.040475602,-0.087619795,0
42,-0.096741786,0.080475827,-0.047031864,0.005913566,-0.148093536,-0.155102812,0
43,-0.062429498,0.382884254,-0.008768947,0.174776633,-0.111585327,-0.158516613,0
44,-0.058948546,0.397134873,0.027422274,0.06265263,-0.082275243,0.019939022,0
45,-0.426138071,-0.342653507,-0.190037089,0.13372386,-0.150679311,-0.191684684,0
46,0.098024084,-0.24384192,-0.094561337,-0.271551302,0.033802428,0.084402248,0
47,0.695835851,-0.064435946,0.046791926,-0.048871911,0.216919826,0.213147884,0
48,0.385087877,-0.100523125,0.066611718,0.089589836,0.130612743,0.083800527,0
49,-0.310919786,-0.124037961,-0.12576922,-0.056386778,-0.113391929,-0.050906114,0
50,-0.334448198,-0.042509483,-0.028044597,0.001662135,0.066421371,-0.095640439,0
51,-0.120715105,-0.088169243,0.111619925,-0.208374844,0.003802253,-0.171757173,0
52,-0.178902498,-0.20657016,0.198064081,-0.494513233,-0.143405436,-0.077875305,0
53,0.403639891,0.16795743,0.214381335,-0.10980062,0.08443397,0.11361879,0
54,0.46491307,0.303403986,0.307492662,0.21007162,0.156923106,0.362260612,0
55,0.148754091,-0.060762905,-0.151865579,0.407280989,-0.136790807,-0.022219296,0
56,0.107652235,-0.490542244,-0.300556757,-0.160113569,-0.154385449,-0.101555134,0
57,0.273430361,-0.131620446,0.061813642,0.723643049,0.39362565,-0.243800423,0
58,0.01330929,0.10483704,0.184183718,0.862613259,0.456554158,-0.38120372,0
59,-1.265565713,0.355219478,0.045188053,0.091659945,0.238758507,-0.305854201,0
60,-0.960239142,0.173983302,0.012941966,-0.961224274,-0.405600185,-0.096683536,0
61,-0.229452196,0.221478424,-0.11847745,-0.197996783,-0.413796608,-0.263747789,0
62,0.288583883,0.506875057,-0.162752191,0.003576135,-0.644920258,-0.030781223,0
63,0.084779268,0.154267495,-0.282109612,0.513452347,-0.481650849,-0.493427862,0
64,-0.265877584,0.228841903,-0.225642644,0.150194704,-0.193374576,-0.356650504,0
65,-0.079563635,0.495346774,-0.019046561,-0.938145809,-0.675006819,-0.653892702,0
66,-0.309087247,0.235277615,0.410927153,-0.587547906,-0.19487862,0.146356558,0
67,-0.546569099,-0.334550385,0.388745041,0.910613741,-1.247915565,0.106040272,0
68,0.268939109,-0.810081512,0.044056625,1.309879575,0.570233926,0.408354094,0
69,0.442486356,-0.630006739,-0.202462499,-1.151771655,0.158658413,1.192692443,0
70,0.437966443,-0.238786921,-0.325979216,0.451881392,-0.039054048,0.374667944,0
71,0.39405759,-0.058831999,-0.194410766,1.342068658,-0.236087537,-0.072071641,0
72,0.537241266,-0.01589081,0.092902574,0.201403367,0.214834684,0.228999289,0
73,0.493779718,-0.162402293,0.178178945,-0.53255147,0.381932213,0.175621582,0
74,0.151107739,-0.399194214,0.177459578,-0.323256139,0.186495237,-0.362795145,0
75,-0.339902054,-0.355949464,0.198810362,-0.034391541,-0.098799,-0.383462502,0
76,0.059907739,-0.241279488,0.359207631,0.435705,-0.276088555,-0.301544584,0
77,0.651426036,0.190531806,0.183069426,1.092061143,-0.647597769,-0.677658872,0
78,-0.034564043,0.172198601,0.015356068,-0.647548717,-0.51640687,-0.23617948,0
79,-0.303578247,-0.0964574,-0.034417796,-1.272123111,0.140941322,0.161465635,0
80,-0.343521974,-0.017297652,0.181412514,-1.022679925,1.446054394,0.323979483,0
81,-0.144494777,0.286125698,-0.16455929,-1.599766487,2.605518305,0.940031155,0
82,-0.281127103,-0.362909798,-0.030202196,0.135024553,1.404688624,0.429234977,0
83,0.029821215,-0.650078487,-0.143078055,-0.779040879,-1.717645574,0.3660016,0
84,0.338270903,-0.413364341,-0.323749517,-0.499669312,-0.272779217,0.647695571,0
85,0.071881613,-0.765893509,-0.545522489,0.427639954,2.164258605,1.075755607,0
86,0.40305725,-0.161838943,-0.262894756,0.846571889,1.62888954,0.320802567,0
87,0.051543419,0.849749385,-0.191576043,0.062080488,-0.340846214,-0.181383878,0
88,-0.192148775,0.373453203,-0.394013582,0.862260879,-1.188917441,-1.058530347,0
89,-0.447370434,0.121227043,0.020945171,-1.679372885,-1.461266632,-0.391681996,0
90,-0.165406762,-0.088760327,0.27881227,-1.077396979,-2.446431822,-0.049452957,0
91,-0.391254874,-0.083193777,-0.106120751,1.364804771,-0.450843503,-0.090335925,0
92,-0.174550888,-0.037573287,-0.293294893,0.437164941,0.259673315,0.233863669,0
93,0.081451527,0.063664487,-0.152456086,0.078522083,0.625844265,0.204048917,0
94,-0.854860707,0.1234239,-0.558236748,0.034374781,-0.263068051,-0.160509363,0
95,-0.519550957,0.330440167,-0.512305587,-0.065959901,-0.218000108,-0.093729965,0
96,-0.694440392,0.191772291,-0.365655293,-0.388644751,0.428497559,-0.040688667,0
97,-0.915468681,-0.043829343,0.104862383,-0.475455852,-0.032681899,-0.268522021,0
98,-2.441533776,1.214926934,0.006619049,0.052330472,0.266973135,-0.392280762,0
99,0.171882165,1.010638709,0.444350894,1.73241081,1.350912026,-0.624409567,0
100,0.930553514,-0.531416857,0.627968069,0.416038296,-0.049016416,-0.789338945,0
