Image,True Class,Predicted Class,Confidence,Correct
001_0fwtaowy.t1o.jpg,new_no_rust,new_rust,0.5495,No
001_kwmsqgk2.yfv.jpg,new_no_rust,new_rust,0.5522,No
003_zomak3wq.43c.jpg,new_no_rust,new_rust,0.5557,No
010_tbhbp3p1.dre.jpg,new_no_rust,new_rust,0.5523,No
012_ghcvcltr.l2e.jpg,new_no_rust,new_rust,0.5556,No
014_wxu245ku.udp.jpg,new_no_rust,new_rust,0.5523,No
075_22gmyh5w.jli.jpg,new_no_rust,new_rust,0.5502,No
AZ-1835_2.JPG,new_no_rust,new_rust,0.5489,No
CA-560759L_11.JPG,new_no_rust,new_rust,0.5505,No
assd.jpg,new_no_rust,new_rust,0.5516,No
002_cql5orz2.p0y.jpg,new_rust,new_rust,0.5529,Yes
002_q40jac40.sd4.jpg,new_rust,new_rust,0.5545,Yes
004_i1dmciub.oop.jpg,new_rust,new_rust,0.5521,Yes
007_2pzsqkji.l3n.jpg,new_rust,new_rust,0.5515,Yes
007_nup2ctfg.0zj.jpg,new_rust,new_rust,0.5512,Yes
008_oiot10cn.acz.jpg,new_rust,new_rust,0.5524,Yes
009_kzubx14e.h55.jpg,new_rust,new_rust,0.5557,Yes
012_vau2k0co.2q3.jpg,new_rust,new_rust,0.5494,Yes
030_2vsy3son.gmu.jpg,new_rust,new_rust,0.5519,Yes
OR-07562A_7.JPG,new_rust,new_rust,0.5513,Yes
